"ID"	"Xcoord"	"ycoord"	"V1"	"V2"	"V3"	"v4"	"V5"
42	668085	90280	27.998489	37.405323	-0.468364	-1.735369	402.304993
43	708394	225716	28.354273	37.960499	-0.446946	-1.580987	401.577148
44	428153	201043	28.745594	38.594234	-0.422443	-1.375698	401.379547
45	693348	299173	28.938086	39.124252	-0.372332	-1.020644	401.620697
46	516588	267220	29.368256	39.695183	-0.217842	-0.579999	401.607971
47	629770	154301	29.523222	40.088272	-0.13472	-0.874534	401.440002
48	699185	102417	29.855333	40.546436	-0.056152	-0.582082	401.764648
49	747990	253274	30.129225	41.087482	0.000267	-0.684207	401.342194
50	507642	167688	30.350569	41.598507	0.025237	-1.087737	401.150391
51	408712	96174	30.116142	41.985039	0.043105	-1.583485	400.389771
52	571553	90955	30.622221	42.504429	0.038709	-1.308661	402.249786
53	465379	256348	31.288	42.95422	0.034401	-1.281403	404.086761
54	484751	125808	31.564089	43.508118	0.024454	-0.91354	404.768768
55	478766	82804	31.841661	43.917099	0.04893	-0.718494	405.20871
56	743444	243836	32.250202	44.262054	0.081998	-0.814419	405.239777
57	799154	216382	32.3255	44.745316	0.120469	-0.794752	405.30304
58	474676	222979	32.506596	45.078056	0.150686	-0.361822	404.325165
59	682617	242986	32.74358	45.492115	0.206776	0.048675	404.122589
60	751229	100566	32.98621	45.76268	0.264278	-0.400946	403.78537
61	725133	196102	32.79134	45.939537	0.3466	-0.873683	403.6427
62	661889	129278	32.973595	46.169399	0.362662	-1.166941	404.307495
63	588415	147545	33.027912	46.516262	0.399829	-1.016113	404.559265
64	561775	132377	33.650406	45.782143	0.376717	-0.284213	404.705597
65	613552	259672	32.726631	44.333252	0.410645	-1.0705	405.047791
66	522666	175507	32.134151	43.4576	0.349734	-1.459126	404.226288
67	621643	264139	31.618256	42.537575	0.307884	-0.894157	403.682587
68	649960	89931	30.526619	41.057735	0.275677	-2.00229	404.347473
69	494805	224410	29.337902	39.651356	0.181669	-1.796875	404.595886
70	733940	107503	29.223303	38.793774	0.161825	-1.566418	405.242859
71	671098	101947	28.64101	37.960533	0.11369	-1.790999	405.651428
72	717448	95736	28.247475	37.292381	0.084793	-0.990403	406.138794
73	685767	149924	27.824276	36.63623	0.100353	-0.519344	405.5914
74	665887	157267	27.472918	36.113213	0.137945	-1.290942	403.597626
75	607531	132873	26.925934	35.181862	0.107814	-1.218194	402.226013
76	599212	78540	26.040895	34.02404	0.056714	-1.616887	402.751495
77	404565	92143	24.864527	33.282715	-0.014345	-1.836796	403.353119
78	508121	246668	24.716303	33.056885	-0.076007	-1.349025	403.122131
79	493043	230520	24.515398	32.916157	-0.113327	-1.480826	403.714935
80	738347	237598	24.175316	32.546352	-0.149437	-2.159884	403.940002
81	689986	208288	23.601984	32.092068	-0.20661	-2.27529	404.542114
82	730835	145852	23.381966	31.651384	-0.271376	-2.076439	404.414703
83	747941	216056	23.136383	31.111027	-0.346424	-1.937296	404.563263
84	453301	256352	22.957588	30.787928	-0.352846	-1.924146	405.182281
85	770471	88357	22.688494	30.457418	-0.381533	-2.542161	406.659882
86	650822	174407	22.374035	29.920057	-0.45983	-2.569461	406.52597
87	495711	283946	22.226017	29.465599	-0.549526	-2.491177	406.685272
88	776277	170783	21.993977	29.019367	-0.642612	-2.514103	406.639526
89	797397	250444	21.701323	28.662312	-0.689302	-2.678812	405.207489
90	794457	142124	21.52216	28.338367	-0.725495	-2.746741	405.615326
91	784660	268289	21.149204	27.997774	-0.787649	-3.45007	405.324982
92	774109	266523	20.846083	27.674265	-0.848491	-3.063726	404.881226
93	650672	191523	20.848902	27.365925	-0.896552	-3.354374	404.678284
94	418116	137042	20.821608	27.082844	-0.970022	-3.24397	404.602966
95	755388	216434	20.866745	26.674253	-1.032346	-3.041396	404.534882
96	686305	278063	20.433628	26.52099	-0.975694	-3.702926	404.443726
97	538786	225970	19.866867	26.206982	-1.004714	-3.748788	404.847198
98	567358	266409	20.07917	25.997751	-0.994004	-3.454278	404.861786
99	678572	136512	19.725649	25.558435	-1.067093	-3.651026	404.675232
100	781763	282624	19.714252	25.40575	-1.055017	-3.517215	404.111969
101	460898	267879	19.708664	25.068966	-1.145323	-3.270255	403.975616
102	682406	215744	19.534452	24.846657	-1.182526	-2.238168	403.760864
103	475096	217143	19.690033	24.531954	-1.307651	-3.24225	403.718018
104	566714	116026	19.444654	24.176611	-1.453114	-3.118675	403.33194
105	685110	154998	19.476692	23.995413	-1.566094	-3.124347	402.574799
106	620076	262576	19.711325	23.732708	-1.709607	-2.114174	403.883209
107	534356	227795	19.825428	23.460386	-1.879315	-3.109307	403.604614
108	710812	85261	19.32159	23.215366	-2.12483	-2.362543	403.433319
109	576273	174665	19.593353	23.036093	-2.35062	-2.416265	403.144409
110	668400	90406	19.514666	22.771753	-2.614965	-2.380893	402.888733
111	690237	199390	20.133692	22.577972	-2.78728	-2.394276	402.974304
112	414526	183487	18.692474	22.790731	-2.869703	-2.372916	403.863678
113	797429	211093	19.591036	23.281914	-2.919848	-2.315736	403.453888
114	645798	207427	20.035376	23.655661	-3.049165	-1.994124	401.518188
115	494542	229823	20.174196	23.963152	-3.074355	-1.410633	401.621368
116	469711	222029	20.50239	24.870605	-3.074491	-1.491676	403.387115
117	549704	209370	20.910027	26.503277	-3.019355	-1.336471	403.549591
118	661909	93675	21.688107	27.866396	-2.997154	-1.35392	403.445404
119	485822	112734	22.277832	28.95912	-2.982291	-1.467847	403.138885
120	484793	102951	23.008226	29.836613	-2.967898	-0.487305	403.839111
121	470758	93674	23.921507	30.783499	-2.885969	-0.475024	404.57782
122	757422	120946	24.53524	31.51251	-2.805176	-0.269733	403.344543
123	510474	111503	24.556499	32.337051	-2.728226	-0.115098	403.221252
124	535947	190125	25.175497	33.074974	-2.661746	-0.345573	403.221924
125	705614	144537	25.459745	33.892715	-2.621514	0.015511	403.437683
126	472724	285628	25.998451	34.576508	-2.568561	0.198798	403.494873
127	700133	143098	26.570028	35.265377	-2.498961	0.07	403.434692
128	567299	207675	26.87245	35.917725	-2.440214	0.055488	403.112549
129	771547	257958	26.855946	36.325478	-2.375335	-0.050015	402.846619
130	459881	156316	27.008436	36.592487	-2.339457	0.266231	402.645325
131	478604	140194	27.451048	36.866722	-2.356309	-0.455793	402.384583
132	593322	271831	27.682747	37.080692	-2.311001	-0.155092	402.550049
133	446816	88596	28.566866	38.022312	-2.29671	0.054262	402.972168
134	624605	232929	28.858711	38.956081	-2.256649	0.435036	403.229187
135	732207	210155	28.777899	39.478214	-2.217773	0.182432	403.527374
136	708421	216047	29.089491	39.985802	-2.172914	0.366648	404.166229
137	694126	188825	29.182577	40.462673	-2.12936	0.691366	403.95575
138	778780	139896	29.929426	41.061062	-2.080867	1.020633	403.933472
139	569684	279569	30.513201	41.75441	-2.029129	0.874293	403.194763
140	527416	163512	31.044155	42.266884	-1.974104	1.281869	403.320862
141	551809	226317	31.032436	42.575253	-1.909464	1.125318	403.882904
142	636400	100173	31.222628	42.911758	-1.853306	1.072277	403.654663
143	508463	194166	31.708311	43.367188	-1.792969	1.354341	403.547058
144	576293	109848	32.111343	43.818684	-1.732984	1.31028	403.601929
145	795994	176010	32.457272	44.469227	-1.676025	1.178035	402.700317
146	650286	233752	32.786861	44.866131	-1.597111	1.105543	401.727295
147	445213	95249	32.973446	45.132191	-1.520171	0.052785	400.548615
148	417984	94915	32.853222	45.319809	-1.444785	0.503969	400.123627
149	470511	106797	32.529148	45.350193	-1.418128	0.424441	381.566803
150	562240	288486	31.233921	45.780876	-1.423561	-1.012809	84.988548
151	604978	100196	31.552483	45.750877	-1.461981	0.113786	402.53418
152	724881	151696	32.000034	45.214321	-1.485153	-0.07582	400.246948
153	619565	183778	31.947027	44.676655	-1.46519	0.061705	400.837891
154	740491	186384	31.955458	45.145969	-1.400635	-0.69676	401.594696
155	786215	218817	32.069016	45.70311	-1.436153	-0.569639	401.669617
156	445775	207046	32.209488	46.092392	-1.416578	0.140125	401.668976
157	731452	137741	32.49464	46.520367	-1.376567	-0.111061	401.436768
158	520979	100113	33.221596	46.460869	-1.417378	0.064294	402.02356
159	566247	231436	34.038101	46.555042	-1.501179	-0.063157	401.983154
160	740688	169430	33.822472	46.631149	-1.607161	-0.165482	401.557007
161	499854	296782	32.967445	46.766697	-1.656182	-1.775941	401.841248
162	493186	170628	33.017334	47.214088	-1.63472	-1.913279	403.207214
163	623703	121930	33.845566	47.149532	-1.593636	-1.737872	402.24115
164	550620	192466	32.250389	44.917229	-1.554536	-0.933493	401.856903
165	771382	192366	30.84417	42.306046	-1.577387	-1.441208	402.642609
166	511223	278941	29.901407	40.934048	-1.566298	-0.771689	403.383209
167	700369	152652	29.381336	40.040714	-1.564868	-0.192071	404.1427
168	633023	217337	29.401468	39.383739	-1.511921	-0.542497	406.113281
169	791202	166068	29.169752	38.768295	-1.461392	-0.157289	404.651337
170	561972	102932	28.612719	38.187672	-1.455822	0.371979	403.177704
171	711848	159768	28.05332	37.473389	-1.389614	-0.300946	403.122559
172	566621	265723	27.151199	36.135288	-1.521754	-0.749798	403.263245
173	511755	196818	26.556011	35.033485	-1.639234	-0.239099	403.953583
174	785923	290575	25.478226	33.873314	-1.736646	-0.773358	403.849487
175	690704	231618	26.036417	33.30291	-1.81246	-0.928717	404.698578
176	419528	197589	26.071728	32.757206	-1.861968	-1.454203	405.041809
177	683489	181503	25.064135	32.7631	-1.837209	-1.608387	404.705048
178	433056	105330	24.364143	32.875755	-1.763575	-1.936785	404.843018
179	556376	261227	24.272047	32.676399	-1.687472	-0.651538	405.292206
180	470216	100856	24.248821	32.299282	-1.606243	-0.864544	405.83963
181	686318	178397	23.635061	31.687647	-1.515063	-0.839446	405.642578
182	730898	166682	23.433611	31.094028	-1.433781	-1.608813	405.855682
183	734123	75619	23.276258	30.871099	-1.382546	-1.039874	405.836853
184	460069	190542	23.208412	30.428223	-1.348549	-1.235082	405.655518
185	514884	197080	23.265358	30.214901	-1.241359	-0.032811	406.09201
186	580955	136394	23.288643	29.777594	-1.219062	-1.286173	406.108917
187	484127	121088	22.909964	29.412029	-1.228907	-1.286173	405.828796
188	460206	100073	22.480368	29.065092	-1.238079	-0.62463	405.202332
189	786555	174539	22.178375	28.720709	-1.202966	-1.122263	405.234009
190	527803	136869	21.984829	28.481684	-1.133369	-0.792656	405.044189
191	605690	139702	21.977777	28.137531	-1.153877	-1.1441	404.927765
192	695436	275263	22.077898	27.811859	-1.142124	-0.550344	405.371582
193	468717	244807	22.145491	27.477186	-1.08917	-0.483415	404.932861
194	457866	109898	22.772352	27.25658	-1.144492	-0.14276	405.013397
195	434708	231087	22.844999	26.982246	-1.137695	-0.364292	404.899719
196	682530	232540	23.319864	26.729118	-1.131393	0.287189	404.87149
197	788487	287794	22.42174	26.540897	-1.053273	0.072771	404.440277
198	621848	235020	22.532818	26.256399	-1.094925	0.365626	404.311646
199	635425	215514	22.720215	25.997429	-1.126811	0.051349	404.043701
200	428021	183930	22.013002	25.69751	-1.100614	-0.409021	403.755646
201	729991	117108	20.996649	25.340971	-1.109998	-0.243838	403.087341
202	614683	89192	21.640881	24.970999	-1.12969	-0.002152	402.459381
203	608944	76534	22.212629	24.333979	-1.186393	-0.566185	402.367737
204	791688	252695	22.628611	24.249035	-1.219352	-0.228113	402.866547
205	672916	106729	22.387814	24.212099	-1.225704	-0.69043	402.558624
206	476710	127220	21.922743	24.172998	-1.22562	0.075809	404.017975
207	533969	162951	21.655819	24.023773	-1.219522	0.207849	401.841919
208	674478	139790	20.302626	23.93181	-1.184826	-1.239843	402.680237
209	508275	89973	20.474003	24.365116	-1.153017	0.359981	403.0961
210	711972	156690	21.615314	24.853607	-1.058492	-0.05446	401.052612
211	544549	177363	20.979946	25.563835	-1.044916	-0.497218	400.090302
212	529901	221655	21.672102	27.083984	-0.979986	-0.332883	399.318939
213	479512	178248	22.698748	28.514261	-0.92925	-0.230098	399.888428
214	773430	103866	23.489445	29.677235	-0.84752	-0.273455	401.436951
215	421675	187642	24.61339	30.880791	-0.704936	0.428683	401.403076
216	593847	121803	24.911945	31.86319	-0.622155	0.244606	401.858887
217	547601	207066	25.350266	32.749798	-0.551101	-0.049081	402.099365
218	672363	233743	25.827251	33.714821	-0.448452	0.086744	402.651245
219	764033	273570	26.18796	34.421387	-0.420177	-0.348264	402.802704
220	603946	269677	26.379564	35.082848	-0.403689	0.076422	402.840973
221	786634	150279	26.950563	35.673489	-0.380627	0.325241	402.919739
222	567901	272251	27.662245	36.580177	-0.251852	0.856092	402.688385
223	707172	293030	28.56036	37.221485	-0.218148	1.430465	403.187958
224	437528	96953	29.462856	37.975815	-0.108574	1.867857	402.91861
225	797627	175877	29.837532	38.68018	0.037603	1.678348	402.754364
226	490625	237890	30.981899	39.375908	0.119056	2.882021	402.664795
227	542303	109819	31.727692	39.958511	0.273716	2.588595	401.644043
228	666986	118413	32.185337	40.631557	0.388246	2.65252	401.857422
229	446627	249573	32.665157	41.211975	0.507631	3.27053	402.39444
230	485097	252410	33.231564	41.80595	0.640372	2.575751	402.211151
231	401666	163795	33.045574	42.128082	0.717086	2.361867	402.792511
232	788995	115750	34.013393	42.545086	0.781574	2.275408	403.678101
233	481655	206108	34.229527	43.183537	0.933185	3.036939	403.496552
234	623201	179694	34.534145	43.685749	1.022293	3.014497	403.360046
235	406464	140270	34.733841	44.075832	1.103652	3.356514	402.318817
236	620742	235050	34.970123	44.543407	1.189907	3.270514	402.118195
237	545621	189014	35.484436	44.951332	1.254241	4.110244	402.485779
238	444824	198906	35.785526	45.423878	1.30095	3.96055	401.721008
239	787045	225858	36.761833	45.949333	1.417094	3.879871	402.031525
240	797115	127505	36.637012	46.38163	1.500335	3.779104	401.961212
241	462020	127838	37.067371	46.708546	1.57913	4.153661	401.593353
242	449152	289297	37.166553	46.600231	1.615285	3.491935	402.11853
243	469825	274565	37.125198	46.580662	1.64578	3.70593	401.319305
244	622771	179127	37.326939	47.010952	1.689164	3.768049	402.03714
245	480095	226117	36.820393	47.103645	1.627538	3.532243	402.497589
246	508752	99709	37.001862	47.020302	1.545013	3.178569	402.547089
247	629568	249756	36.489559	46.833107	1.421353	2.673592	402.838898
248	551981	97550	35.940956	46.629124	1.292685	2.789755	402.859924
249	496586	254539	36.51693	46.949104	1.19001	3.009397	403.386047
250	430250	112822	35.351818	46.377338	1.155569	2.918423	403.005829
251	769962	122573	33.52359	44.763268	1.107742	2.466578	402.060791
252	752401	161891	32.690468	43.62384	1.068104	2.308247	401.88739
253	509953	145858	32.270741	43.0602	1.002322	3.087442	402.147156
254	682571	134901	32.382545	42.734547	0.958377	3.531051	401.999878
255	526467	234159	32.776821	42.825264	1.018824	3.956509	402.518555
256	636115	243724	33.191734	43.056778	0.975819	4.226801	404.174835
257	455664	292971	33.747711	43.749939	1.080862	5.53024	404.597931
258	410599	201219	34.160507	44.163586	1.1981	3.990297	404.671204
259	645722	114645	33.637863	43.768269	1.300175	3.192383	404.658936
260	645095	181083	33.046085	42.826267	1.345249	3.708144	404.94278
261	496580	171374	32.276241	41.85886	1.353834	3.918724	405.671417
262	543115	143859	31.769678	41.084499	1.321573	4.018844	405.431671
263	489774	255852	31.42132	40.414162	1.282934	3.003704	403.757843
264	457280	111265	30.995594	39.693394	1.23467	3.191991	404.86438
265	475148	87230	30.739706	38.994324	1.209512	3.192434	404.3526
266	485157	163019	29.90696	38.385357	1.154751	2.968074	404.289032
267	543025	87100	29.04472	37.4804	1.090669	2.324892	403.6203
268	499984	245179	28.23111	36.336891	0.948089	1.620418	404.447357
269	610156	288299	27.524885	35.297123	0.75616	1.271768	405.37326
270	580878	199896	26.700264	34.379349	0.612452	0.979157	405.638092
271	453344	256507	26.485519	33.691692	0.414635	0.276148	405.314117
272	773917	90469	26.931232	33.65834	0.277122	-0.4739	405.83075
273	681661	144357	26.040419	33.472305	0.060087	-0.429035	405.620056
274	546178	81886	25.926605	33.028542	-0.071068	-0.80601	405.083893
275	740910	153540	24.919764	32.561069	-0.128128	-1.70752	405.905853
276	748432	276507	24.682095	32.152531	-0.26352	-0.151165	405.837494
277	796097	108464	24.881302	31.777735	-0.416941	-0.189022	406.152802
278	511237	249895	25.732546	31.518526	-0.444467	0.69307	406.199799
279	680331	170042	24.339838	31.206003	-0.454499	-0.987907	406.359283
280	682162	297657	23.597673	30.916958	-0.471713	-1.458648	406.290955
281	437639	131515	23.403223	30.543655	-0.450479	-1.32046	406.279694
282	601304	187224	23.31794	30.181942	-0.4561	-0.998212	406.59726
283	737652	170797	23.201859	29.917366	-0.382143	-0.78741	406.180176
284	788472	149398	23.045662	29.475216	-0.306439	-0.855098	406.291229
285	508084	140228	22.783611	29.059036	-0.244992	-0.85745	406.449432
286	454690	230606	22.522326	28.820574	-0.167747	-0.71301	406.668793
287	450361	140690	22.277729	28.532272	-0.079414	-0.6924	406.586761
288	647720	248749	22.03849	28.138807	-0.032967	-0.839776	406.49054
289	553736	145487	21.930511	27.73148	0.004065	-0.877158	406.939728
290	471670	251232	21.820324	27.424885	0.065776	-0.968778	406.634308
291	753604	175637	21.429279	27.20916	0.114439	-1.014393	406.84848
292	578728	95743	21.095249	26.762646	0.110975	-1.659719	406.507782
293	726329	196603	20.8592	26.463997	0.111203	-1.480997	405.577087
294	485980	179242	20.760986	26.207684	0.103453	-1.34291	405.660706
295	447462	103957	20.611931	25.913439	0.106247	-1.86189	405.370728
296	465095	194562	20.370689	25.483953	0.039888	-1.916319	405.168274
297	780352	124946	20.11574	25.097605	-0.051173	-2.119703	403.936951
298	431200	227983	19.80768	24.774181	-0.132693	-2.171364	403.13385
299	662949	287249	19.295956	24.30102	-0.248535	-2.868033	403.055328
300	475912	100311	18.836931	23.584675	-0.453074	-3.158944	402.062134
301	454304	235306	18.624615	23.127459	-0.591189	-3.521933	402.942139
302	551487	267581	18.445904	22.943859	-0.803847	-3.799998	402.80545
303	420338	121347	18.414103	22.803268	-0.977721	-3.824014	401.718109
304	539693	156218	18.573702	23.040895	-1.189646	-4.032482	403.419434
305	425878	95698	18.75005	23.470451	-1.341123	-4.194016	403.410645
306	616025	96259	18.787689	23.894951	-1.529745	-4.340236	403.565033
307	734198	251131	19.142897	24.87718	-1.681527	-4.36432	403.814667
308	499621	139884	20.011446	26.371151	-1.837737	-4.370554	403.16861
309	517081	260401	20.807667	27.539972	-2.00756	-4.34732	402.768219
310	588048	126283	21.443024	28.648914	-2.106775	-4.483773	403.881958
311	688704	187110	22.126833	29.781069	-2.176406	-4.187619	404.29483
312	613217	93365	22.511526	30.81518	-2.252952	-4.048391	403.151306
313	768190	80960	23.039568	31.689638	-2.294905	-4.37399	402.504181
314	505405	251189	23.32041	32.373264	-2.413728	-4.34061	403.018768
315	417359	83533	23.900061	33.320763	-2.393032	-3.778264	402.48288
316	533728	99530	24.827513	33.884827	-2.448254	-3.248058	401.997589
317	786038	96131	25.086813	34.509933	-2.497862	-3.049956	403.183289
318	754407	83139	25.638557	35.12727	-2.572254	-2.891079	403.253784
319	761123	249396	25.917322	35.762894	-2.617426	-2.306794	403.220337
320	701741	138301	26.107819	36.3792	-2.688318	-3.371991	403.204254
321	784077	169317	25.625168	37.120403	-2.719525	-5.618248	403.382935
322	434376	226809	25.776867	37.838341	-2.723304	-4.595408	403.31485
323	516366	152017	26.528418	38.458633	-2.732229	-3.617965	402.551514
324	550439	215317	26.984102	38.941826	-2.743079	-3.460938	402.70929
325	742811	177552	27.744881	39.441017	-2.720063	-2.555664	402.870239
326	509229	271008	28.181953	39.958324	-2.647183	-4.167299	402.984406
327	548212	257612	28.009085	40.416019	-2.627799	-3.097435	404.017303
328	669187	242093	29.029417	40.450054	-2.578693	-1.519917	405.135254
329	713263	267406	28.719793	39.92915	-2.528017	-1.431573	406.013824
330	546083	156497	28.93432	38.689651	-2.505638	-1.40399	402.079895
331	790406	288317	28.779848	37.691601	-2.470669	-0.834473	402.076813
332	676989	266781	29.739491	38.75581	-2.374483	-0.574088	401.866089
333	435136	173764	30.846521	39.745071	-2.343619	-0.92422	402.633453
334	747445	249280	31.150879	40.542683	-2.277647	-1.414517	402.481506
335	476926	153564	31.38291	41.299561	-2.248405	-0.71829	402.227936
336	652827	289962	31.24082	41.797047	-2.249239	-0.288682	402.778717
337	746842	145261	31.126169	42.262032	-2.20141	0.574639	402.223572
338	421741	133895	31.799839	42.803745	-2.097269	0.818157	401.770569
339	545138	242079	32.25909	43.234447	-2.043599	1.031176	400.761505
340	595870	275600	32.32811	43.745491	-1.945778	0.913341	401.029022
341	450944	121347	32.703671	44.13628	-1.8879	0.878815	401.101929
342	409934	129298	33.122829	44.562485	-1.79445	1.048475	401.379486
343	699032	133537	33.163803	44.855385	-1.720465	1.122422	401.184418
344	567585	111079	33.592712	45.282898	-1.697112	1.046659	401.427643
345	628520	83196	34.091831	45.576786	-1.713038	1.140597	401.654419
346	790668	184938	34.402294	45.875927	-1.683274	0.9457	402.22934
347	440279	293160	33.927395	45.76432	-1.721964	0.198958	402.182953
348	482935	203843	33.87648	45.765308	-1.852931	0.391363	402.305786
349	799031	161279	34.461498	45.980179	-1.866489	0.662087	402.358917
350	470326	106494	33.987793	45.611698	-1.978162	-0.126852	402.7547
351	763804	89894	34.309532	45.400543	-2.062438	0.38254	403.012268
352	616215	80872	34.488071	45.995407	-2.161843	-0.123478	403.019501
353	548916	267933	34.126205	45.828331	-2.250108	-0.548556	403.131256
354	637956	250083	32.646687	45.229004	-2.331762	-0.96838	402.667603
355	651640	208623	32.468136	44.127968	-2.444847	-1.565038	402.602692
356	772429	145847	32.505676	43.030018	-2.624665	-2.12672	402.945282
357	777993	244218	31.652712	41.886997	-2.796954	-2.699951	403.288666
358	737733	89885	30.883705	40.880791	-3.024431	-2.816777	403.493408
359	512688	167090	29.113253	39.756977	-3.167713	-3.041123	403.928772
360	466805	251729	28.330532	38.982109	-3.311081	-3.079908	404.308136
361	633521	133554	28.394629	38.61871	-3.434093	-2.914381	404.729462
362	527958	168312	28.657227	38.324276	-3.542424	-2.710954	404.350891
363	579413	88185	28.645557	37.915241	-3.532648	-2.931826	404.052795
364	566573	75656	27.977674	36.995422	-3.613929	-3.072038	404.705994
365	624125	169311	27.809082	36.013657	-3.675741	-3.017873	405.709991
366	612910	112753	27.741938	35.21138	-3.695517	-2.809814	405.749878
367	449241	240817	27.417749	34.677582	-3.718043	-2.929401	405.331635
368	463282	165192	26.181845	33.836216	-3.758573	-3.229986	404.675415
369	772020	116972	25.578823	32.879742	-3.781398	-3.352335	405.256775
370	455775	286634	25.258703	32.122791	-3.803541	-3.478618	405.025177
371	455574	249206	25.032816	31.502811	-3.836392	-3.645373	404.846008
372	692589	280010	24.738787	30.859619	-3.868147	-3.968369	405.23111
373	660470	217887	24.295092	30.36142	-3.897154	-3.900306	405.158661
374	428749	139052	24.07012	29.90122	-3.93553	-4.053791	405.337585
375	570865	181050	23.883587	29.583042	-3.977994	-4.292902	405.477356
376	652700	273476	23.711779	29.339401	-3.990172	-4.420853	405.573853
377	676618	220020	23.30094	29.113218	-4.045904	-4.487043	406.336304
378	690626	225181	22.909197	28.756086	-4.109574	-4.929835	406.147217
379	674507	229397	22.655643	28.226681	-4.142932	-5.132728	406.410278
380	671047	120124	22.121128	27.815777	-4.215826	-5.580413	405.852112
381	736902	189249	21.312466	27.278912	-4.297312	-6.057424	405.748871
382	403503	147147	20.89909	26.759027	-4.31598	-6.202052	405.735291
383	632266	170982	20.722269	26.148472	-4.217521	-6.639446	405.977722
384	496194	171726	20.085762	25.263336	-4.175781	-7.054063	405.922089
385	620322	269803	19.44566	24.114815	-4.145258	-7.394383	405.858002
386	671572	213600	19.059246	23.277468	-4.103697	-7.373058	405.750092
387	576664	204063	18.885321	22.766264	-4.116345	-7.571912	405.387299
388	680341	231105	18.666737	22.523567	-4.077654	-7.552723	405.669006
389	606736	124358	18.317968	22.420927	-4.067826	-7.54826	405.764618
390	585572	129820	18.253616	22.256098	-4.090105	-7.71917	404.823364
391	404941	100098	17.817945	22.022251	-4.055459	-7.771308	404.670563
392	555365	203605	17.473162	21.651789	-4.03386	-7.965298	404.5401
393	411453	221224	17.193922	21.496441	-4.047062	-8.095073	403.402618
394	517745	115099	16.861963	21.067974	-4.04231	-8.237827	402.641083
395	563056	135255	16.486231	20.760134	-3.997258	-8.172029	402.056519
396	662748	132567	16.178122	20.217403	-4.040308	-8.05302	403.584961
397	503590	199978	15.961885	19.63418	-4.036076	-8.327558	403.087708
398	715745	87236	15.609796	19.149624	-4.025039	-8.411956	402.798096
399	409092	211603	15.510288	18.659582	-4.02354	-8.280308	402.395905
400	705962	277438	15.735284	18.906588	-3.996178	-8.29775	404.162537
401	766015	98366	15.847918	19.537773	-3.950229	-8.461897	404.158386
402	673813	170151	16.078579	20.05575	-3.951967	-8.337437	401.13208
403	447338	206770	16.496639	21.101477	-3.925838	-8.038387	400.769165
