"ID"	"X"	"Y"	"L"
77	19.18	6.9	11.64
78	13.77	1.54	32.07
79	17.89	3.62	90.31
80	1.28	6.99	88.57
81	1.25	0.16	90.04
82	3.33	5.59	63.75
83	8.89	3.24	20.18
84	5.17	10.64	47.09
85	2.42	13.22	10.21
86	18.48	12.02	90.3
87	0.44	11.75	10.99
88	14.28	5.17	99.22
89	19.68	7.63	34.07
90	14.16	14.2	25.63
91	9.48	5.62	52.67
92	15.14	10.19	91
93	6.48	7.72	47.2
94	11.75	8.79	57.82
95	5.04	4.51	5.99
96	1.33	4.46	90.3
97	6.2	12.34	86.44
98	2.04	12.98	10.19
99	5.18	11.73	3.19
100	5.87	3.16	25.33
101	15.04	3.7	90.17
102	14.45	2.91	20.51
103	1.42	8.46	3.96
104	14.11	14.57	94.23
105	8.44	8.01	57.98
106	14.27	9.79	65.69
107	3.43	1.63	90.29
108	0.89	4.14	90.36
109	5.85	5.79	66.59
110	11.47	5.24	87.49
111	1.4	12.2	10.51
112	6.09	9.93	18.74
113	2.73	8.29	96.34
114	13.67	3.96	35.98
115	8.19	5.3	29.64
116	3.79	9.17	18.57
117	16.3	2.6	10.9
118	5.19	6.67	61.7
119	12.26	1.99	75.65
120	19.72	9.16	52.88
121	19.96	6.14	20.77
122	8.69	12.88	66.47
123	14.84	2.1	17.76
124	10.46	10.7	38.92
125	1.78	3.11	90.85
126	8.6	11.25	43.66
127	18.74	3.53	90.06
128	4.77	6.96	87.93
129	0.76	1.81	90.28
130	8.06	12.16	61.26
131	15.43	10.28	90.18
132	4.13	9.46	54.21
133	13.92	13.28	75.49
134	3.84	8.32	52.88
135	16.42	11.15	90.98
136	19.01	3.89	10.29
137	6.24	8.1	55.16
138	7.42	5.13	78.33
139	17.58	10.6	90.69
140	13.1	10.01	12.04
141	7.6	9.68	0.45
142	10.35	6.93	25.64
143	18.09	0.45	10.62
144	5.14	12.54	40.03
145	14.73	3.21	79.16
146	12.93	10.26	51.78
147	4.91	2.51	90.55
148	15.44	13.7	90.37
149	17.36	10.77	90.83
150	6.01	1.71	55.15
151	16.22	12.9	90.37
152	17.75	9.67	39.81
153	11.32	11.62	51.46
154	0.12	6.78	22.97
155	7.21	12.51	0.81
156	9.32	8.43	2.02
157	6.01	6.6	1.96
158	14.11	0.95	52.7
159	1.13	6.84	87.48
160	17.6	6.32	69.33
161	12.25	0.08	29.99
162	9.75	6.41	61.83
163	4.91	4.13	90.72
164	5.17	10.01	79.48
165	19.25	7.06	69.69
166	5.27	9.98	45.34
167	8.82	12.8	55.14
168	2.46	13.63	10.03
169	8.02	0.91	80.65
170	6.29	0.52	85.55
171	13.38	8.68	60.38
172	5.49	1.14	72.59
173	12	3.84	60.69
174	1.35	2.7	90.66
175	7.54	6.67	70.62
176	9.43	10.35	66.09
177	5.73	5.24	44.72
178	15.81	11.38	90.08
179	14.78	4.67	26.31
180	2.32	3.4	90.4
181	5.75	8.26	35.43
182	17.64	7.05	66.67
183	4.4	2.17	90.54
184	1.63	14.91	10.88
185	14.89	5.06	75.17
186	1.23	14.56	10.51
187	8.27	3.15	78.79
188	18.23	11.37	90.39
189	1.76	0.65	90.86
190	13.47	3.76	21.86
191	4.46	9.4	60.76
192	7.73	9.78	56.4
193	11.34	1.3	11.51
194	17.13	4.66	10.88
195	4.99	4.63	90.29
196	19.14	9.95	24.69
197	13.07	2.05	43.78
198	6.85	3.36	12.63
199	13.01	3.67	62.81
200	16.63	13.58	90.62
201	15.46	9.76	2.06
202	6.52	13.68	78.58
203	13.67	7.9	8.66
204	18.84	2.42	90.45
205	4.69	2.86	90.01
206	16.35	0.87	90.19
207	0.89	2.05	90.07
208	6.69	8.77	89.12
209	16.79	11.76	90.88
210	2.56	12.97	10.92
211	15.43	8.83	59.59
212	15.91	3.74	10.64
213	18.26	10.73	90.45
214	14.77	8.13	61.86
215	12.24	14.55	87.67
216	17.98	2.69	90.8
217	11.72	8.65	95.46
218	12.96	5.99	30.83
219	12.83	7.72	70.35
220	18.26	8.42	50.9
221	1.92	4.88	90.17
222	0.99	11.61	10.14
223	1.64	11.71	10.81
224	2.58	0.59	90.43
225	8.2	9.62	24.27
226	0.01	7.67	22.47
227	2.98	4.6	90.77
228	10.65	5.22	98.24
229	7.13	12.41	9.68
230	12.15	8.32	23.43
231	10	5.7	48.45
232	7.19	5.84	59.94
233	3.4	4.37	90.01
234	14.53	7.17	5.29
235	19.74	3.29	90.63
236	13.14	3.13	52.28
237	6.09	9.69	55.7
238	3.61	0.54	90.16
239	6.1	2.77	70.79
240	15.77	8.35	21.28
241	7.52	8.25	8.76
242	0.42	14.52	10.78
243	18.68	1.83	90.81
244	10.94	14.17	82.88
245	14.81	11.6	61.85
246	6.79	12.51	34.57
247	2.26	7.98	37.25
248	6.65	7.6	44.9
249	3.56	0.29	90.4
250	1.54	1.71	90.9
251	6.25	2.47	41.65
252	5.79	10.99	0.75
253	8.72	4.03	72.29
254	12.97	2.67	82.05
255	18.07	8.55	16.14
256	8.33	8.49	62.36
257	10.71	4	49.72
258	15.01	8.69	23.64
259	15.27	1.09	10.9
260	3.31	4.87	90.27
261	6.58	7.51	42.09
262	5.75	8.56	58.53
263	18.89	7.85	52.71
264	2.66	3.23	90.41
265	6.14	4.92	63.91
266	9.88	0.02	99.31
267	12.29	1.17	98.81
268	19.67	14.3	90.67
269	12.29	8.44	64.78
270	15.29	10.08	90.38
271	2.04	6.77	81.38
272	13.52	6.06	65.06
273	12.09	14.71	78.07
274	8.53	4.38	21.22
275	2.73	3.44	90.33
276	19.89	3.2	10.56
277	3.11	2.83	90.18
278	1.36	13.92	10.57
279	8.29	3.71	54.9
280	7.84	12.56	69.21
281	12.73	8.92	14.81
282	10.89	7.72	41.03
283	15.12	5.83	3.48
284	3.84	0.02	90.39
285	5.33	0.15	74.69
286	10.96	4.65	55.98
287	0.27	10.21	10.98
288	15.7	14.4	90.66
289	12.71	5.02	50.54
290	6.28	14.47	77.73
291	5.13	13.76	81.95
292	4.17	6.45	99.93
293	8.35	11.5	42.26
294	15.98	10.81	90.36
295	10.43	4.93	28.32
296	11.53	2.79	31.91
297	6.2	4.1	41.14
298	6.02	14.02	67.99
299	9.96	4.67	11.97
300	11.02	14.65	75.67
301	9.81	8.95	26.59
302	3.78	8	44.5
303	6.8	11.56	56.29
304	0.33	0.46	90.62
305	9.06	12.55	55.51
306	8.85	13.15	34.63
307	6.1	9.55	62.96
308	10.4	13.13	19.56
309	15.11	14.95	90.95
310	12.92	10.37	93.2
311	2.63	4.3	90.86
312	5.09	11.77	91.22
313	16.44	12.49	90.99
314	3.04	11.84	10.73
315	12.55	3.02	78.02
316	7.58	7.55	67.1
317	17.6	8.35	1.13
318	4.88	13.31	10.52
319	9.28	14.9	57.3
320	16.88	1.31	90.57
321	17.91	10.51	90.54
322	10.17	2.32	24
323	10.89	3.68	93.44
324	0.24	9.86	95.2
325	7.27	12.44	34.48
326	18.58	10.7	90.83
327	16.89	2.42	90.24
328	14.68	12.51	27.69
329	15.79	2.2	90.64
330	13.99	12.62	32.13
331	4.31	13.79	10.25
332	9.25	5.81	7.13
333	1.56	1.37	90.13
334	5.91	4.76	29.39
335	10.02	4.26	30.42
336	9.57	11.23	78.54
337	19.47	0.17	90.6
338	18.03	1.97	90.82
339	9.23	5.93	25.59
340	1.66	2.8	90.5
341	13.91	3.65	81.78
342	8.34	8.74	91.85
343	11.68	13.84	19.88
344	9.46	5.15	8.99
345	14.38	8.16	16.9
346	0.42	12.25	10.53
347	0.02	4.95	90.32
348	17	3.2	10.06
349	11.84	12.38	80.17
350	3.57	0.3	90.15
351	9.51	8.51	75.92
352	10.77	7.52	17.11
353	10.62	10.29	27.38
354	6.95	6.52	35.12
355	0.63	0.98	90.67
356	14.48	6.38	97.8
357	11.37	13.13	61.91
358	15.78	6.33	49.76
359	18.84	0.56	90.44
360	15.3	1.3	90.82
361	14.27	6.37	9.22
362	11.04	12.46	82.97
363	16.51	9.31	56.36
364	3.15	11.43	10.46
365	2.42	14.83	10.77
366	10.77	1.5	63.89
367	13.87	11.64	40.44
368	1.33	1.68	90.64
369	16.89	3.58	90.13
370	10.27	12.81	19.25
371	8.88	8.16	16
372	14.66	12.67	57.51
373	16.05	6.57	25.46
374	16.1	2.1	10.34
375	0.89	7.94	96.5
376	9.6	13.02	54.31
377	11.33	14.64	33.4
378	10.8	4.58	37.83
379	3.78	3.9	90.2
380	9.57	7.09	26.8
381	8.1	11.64	80.55
382	19.59	13.77	90.37
383	14.55	2.59	62.35
384	18.95	8.21	8.75
385	18.99	1.8	10.58
386	11.3	1.02	2.76
387	8.88	6.27	62.14
388	15.48	4.77	10.83
389	6.26	13.77	79.83
390	11.08	6.81	25.2
391	14.61	8.33	77.25
392	2.94	12.92	10.82
393	7.54	9.79	57.32
394	16.86	10.21	90.19
395	18.5	2.89	90.93
396	4.88	13.14	10.62
397	12.76	13.22	77.09
398	15.48	3.93	10.55
399	6.08	13.46	0.52
400	3.95	8.3	28.64
401	13.12	10.71	22.37
402	10.02	9.92	95.14
403	10.07	1.07	88.05
404	4.46	4.72	90.49
405	19.27	6.11	92.27
406	12.5	2.17	1.6
407	8.69	12.33	65.38
408	16.61	14.97	90.83
409	4.35	0.22	90.38
410	0.1	4.89	90.09
411	14.81	12.34	54.95
412	9.66	8.65	34.19
413	17.94	9.5	24.4
414	8.83	4.69	53.38
415	15.1	12.44	90.05
416	15.17	6.08	98.42
417	2.2	12.8	10.21
418	19.96	5.09	40.93
419	1.79	8.93	74.37
420	7.81	4.84	65.08
421	7.89	6.87	17.78
422	6.73	1.69	10.12
423	6	2.61	11.96
424	7.06	6.3	89.44
425	8.15	4.5	26.33
426	11.74	9.88	92.5
427	17.11	10.44	90.81
428	1.41	4.58	90.68
429	8.23	0.33	83.87
430	1.87	6.58	32.43
431	13.94	12.71	94.57
432	15.83	12.07	90.43
433	15.4	2.87	90.09
434	3.52	4.97	90.49
435	18.73	2.59	90.14
436	5.21	5.92	39.42
437	9.18	0.75	28.97
438	9.14	10.99	85.74
439	8.5	0.65	33.26
440	2.62	8.58	37.93
441	4.57	14.83	10.83
442	3.6	13.14	10.33
443	1.09	6.43	52.05
444	10.9	12.74	9.36
445	16.31	10.12	90.6
446	1.7	5.49	57.1
447	4.97	14.93	10.23
448	19.5	12.77	90.21
449	17.64	12.27	90.21
450	0.06	5.31	78.06
451	14.35	8.31	52.84
452	13.62	5.67	70.87
453	3.97	9.36	7.98
454	6.59	14.94	76.54
455	15.3	11.71	90.47
456	2.53	14.04	10.47
457	10.74	3.89	36.88
458	2.87	9.97	1.4
459	9.41	2.19	89.26
460	9.01	8.71	4.39
461	19.21	14.61	90.88
462	7.68	2.23	64.59
463	14.1	11.37	47.4
464	13.12	5.96	57.36
465	14.73	4.83	31.56
466	1.9	11.83	10.28
467	19.44	2.94	90.04
468	0.25	4.58	90.58
469	17.31	10.49	90
470	3.45	5.06	13.09
471	11.05	2.64	76.33
472	8.46	9.47	24.33
473	5.78	6.15	8.87
474	9.33	2.25	28.1
475	15.03	10.48	90.45
476	14.79	7.38	35.3
477	11.36	13.45	76.45
478	3.71	7.97	74.57
479	17.69	11.62	90.19
480	14.42	6.04	63.99
481	4.28	3.56	90.38
482	3.51	13.43	10.54
483	13.62	7.47	34.08
484	10.21	6.34	80.08
485	4.41	9.6	11.57
486	19.54	1.63	10.44
487	5.73	13.98	23.08
488	9.84	11.36	97.84
489	7.72	12.54	0.25
490	12.19	4.81	39.99
491	2.45	13.88	10.9
492	16.18	0.11	10.18
493	1.48	3.81	90.87
494	8.41	4.67	78.31
495	13.85	12.78	95.58
496	14.94	14.41	75.85
497	0.84	1.76	90.7
498	0.37	12.97	10.66
499	0.82	0.97	90.01
500	10.38	4.45	96.66
501	2	8.61	68.81
502	10.34	14.97	12.27
503	3.71	2.43	90.21
504	4.7	1.77	90.93
505	19.62	9.33	6.49
506	18.45	10.77	90.5
507	11.82	9.57	17.01
508	19.36	6.71	53.12
509	14.1	9.67	13.93
510	8.42	12.76	32.82
511	9.52	8.67	18.32
512	19.2	7.88	70.66
513	9.02	12.28	35.64
514	8.24	12.12	79.32
515	17.5	5.83	31.84
516	17.01	5.12	52.65
517	8.68	1.57	57.31
518	10.16	0.1	10.34
519	17.15	9.95	0.25
520	11	0.46	86.38
521	7.49	3.55	30.44
522	17.91	10.47	90.64
523	11.12	0.46	33.94
524	10.48	11.22	84.04
525	2.61	11.35	10.7
526	8.25	13.83	69.23
527	12.26	13.18	51.81
528	14.94	8.07	73.93
529	18.8	6.99	74.18
530	6.61	12.29	71.84
531	17.21	7.72	39.42
532	18.28	6.45	71.86
533	18.53	9.55	54.87
534	13.08	8.49	34.66
535	17.83	12.88	90.72
536	19.97	2.98	90.37
537	17.97	3.1	90.47
538	11.29	0.83	78.84
539	3.93	1.38	90.3
540	8.25	1.9	84.56
541	1.73	11.49	10.82
542	5.3	4.2	31.36
543	10.52	5.44	76.63
544	7.23	6.14	57.22
545	8.11	8.24	68.55
546	12.22	3.85	25.36
547	1.97	14.74	10.24
548	7.36	0.13	67.68
549	7.76	9.77	52.96
550	8.94	0.24	46.08
551	16.95	5.84	87.3
552	2.72	5.09	0.91
553	16.58	8.61	92.57
554	15.35	4.24	10.64
555	5.94	7.54	68.81
556	18.15	13.77	90.12
557	19.49	11.25	91
558	2.76	11.19	10.55
559	8.6	0.64	66.13
560	15.9	5.3	22.68
561	7.34	14.55	74.06
562	18.23	4.4	10.27
563	14.27	0.59	33.93
564	2.7	6.74	67.84
565	10.76	14.95	47.04
566	8.69	7.19	43.98
567	13.89	7.38	54.38
568	18.21	6.71	43
569	8.23	3.8	26.72
570	2.62	14.34	10.39
571	14.41	13.08	94.04
572	3.88	14.13	10.42
573	14.39	6.86	19.76
574	16.21	8.45	12.76
575	6.15	0.89	28.97
576	16.4	10.25	90.58
577	5.45	12.92	11.17
578	10.55	0.52	73.19
579	12.19	11.82	60.13
580	16.05	4.02	10.49
581	16.49	0.43	10.77
582	12.08	12.11	87.53
583	1.7	10.2	10.96
584	4.24	8.68	86.51
585	8.41	12.1	24.82
586	3.07	11.16	10.55
587	12.37	11.03	12.19
588	18.63	2.79	90.16
589	15.25	4.89	90.95
590	1.85	13.56	10.44
591	9.5	13.93	34.27
592	2.7	14.3	10.78
593	9.96	14.26	40.46
594	1.02	7.74	94.35
595	7.1	4.45	37.86
596	12.12	5.6	40.47
597	3.77	0.09	90.53
598	9	3.43	90.42
599	18.95	1.63	10.76
600	12.66	11.49	4.08
601	5.26	14.78	37.83
602	10.31	11.37	10.55
603	9.77	13.89	70.82
604	10.8	13.6	57.82
605	10.93	7.83	63.69
606	5.55	10.23	90.19
607	7.37	11.75	17.76
608	18.74	5.04	57.13
609	4.89	1.5	90.14
610	4.39	12.46	10.08
611	8.62	7.06	6.88
612	11.76	6.52	82.38
613	1.97	10.37	10.92
614	13.03	2.82	1
615	11.44	12.4	41.28
616	17.9	3.2	90.15
617	13.72	12.84	17.86
618	18.41	1.82	10.46
619	3.61	6.3	12.61
620	9.62	8.54	49.01
621	4.76	13.05	10.89
622	12.64	2.59	94.62
623	14.57	7.68	71.76
624	6.7	4.62	0.91
625	12.92	5.38	3.19
626	1.53	3.41	90.29
627	15.05	8.12	28.54
628	15.28	8.25	62.82
629	11.75	8.92	11.04
630	6.4	5.41	71.95
631	8.57	7.5	34.32
632	10.44	0.45	62.19
633	11.62	8.06	75.67
634	10.48	5.54	77.81
635	11.16	9.51	20.48
636	4.81	4.82	90.76
637	13.98	14.82	52.15
638	15.68	14.3	90.44
639	8.45	5.28	41.27
640	12.84	0.79	55.48
641	1.03	4.99	90.08
642	9.68	8.14	26.24
643	5.24	5.94	10.83
644	2.86	4.59	90.98
645	1.63	10.54	10.71
646	5.34	0.26	28.39
647	11.22	8.67	69.19
648	12.29	7.8	24.27
649	11.8	14.96	47.27
650	13.99	13.12	48.68
651	12.69	0.03	29.08
652	19.78	13.53	90.78
653	16.58	5.36	75.9
654	6.83	0.85	2.72
655	10.31	8.67	42.8
656	8.34	13.94	27.62
657	15.58	5.26	93.8
658	14.56	5.14	10.41
659	10.13	9.57	15.1
660	2.29	8.33	37.22
661	3.2	4.64	90.9
662	0.13	3.82	90.21
663	14.98	14.1	63.09
664	6.49	10.88	65.76
665	7.91	5.34	40.58
666	0.25	11.99	10.69
667	4.71	11.11	10.75
668	5.8	1.93	43.35
669	6.48	10.52	80.25
670	7.79	10.55	84.26
671	13.95	5.96	62.9
672	0.22	0.42	90.63
673	16.52	6.3	25.42
674	8.22	8.31	39.37
675	13.75	14.77	26.71
676	14.08	10.82	93.84
677	9.28	5.45	5.89
678	0.85	8.74	19.53
679	6.67	2.6	81.78
680	6.36	9.64	88.52
681	16.08	7.66	96.55
682	15.5	1.59	90.69
683	2.92	14.75	10.24
684	5.21	8.1	58.65
685	12.64	0.38	33.74
686	19.91	10.61	90.16
687	13.57	1.58	1.17
688	6.18	12.99	91.51
689	7.25	8.53	58.49
690	3.59	7.66	88.95
691	2.22	14.45	10.54
692	2.11	7.05	16.52
693	15.4	14.71	90.9
694	7.26	4.64	51.01
695	17.73	8.5	76.01
696	17.73	13.62	90.45
697	5.03	2.2	29.52
698	2.41	6.06	87.77
699	13.76	1.86	29.26
700	15.15	3.7	10.7
701	13.38	4.73	48.79
702	5.8	0.22	20.56
703	18.79	12.8	90.47
704	15.55	0.41	90.16
705	10.86	7.42	66.62
706	1.93	3.1	90.21
707	8.74	11.13	11.39
708	15.22	1.07	90.96
709	16.08	0.61	10.91
710	12.51	10.25	49.62
711	7.44	8.71	35.23
712	19.47	3.39	90.2
713	5.63	14.5	47.23
714	14.96	8.65	14.78
715	1.29	0.76	90.25
716	6.27	0.37	25.81
717	16.37	6.62	49.65
718	14.19	10.8	33.31
719	7.64	2.9	91.23
720	14.51	1.79	82.17
721	8.17	10.15	94.65
722	3.76	14.14	10.76
723	11.3	12.57	14.31
724	4.63	0.25	90.62
725	3.47	5.87	58.91
726	0.71	12.71	10.98
727	19.29	11.55	90.88
728	8.24	13.75	74.67
729	4.76	3.99	90.08
730	8.89	1.45	76.16
731	19.28	2.83	90.71
732	1.78	12.54	10.63
733	7.05	6.82	76.61
734	16.95	6.14	61.01
735	14.92	9.77	28.51
736	9.87	9.08	11.62
737	3.95	9.6	48.05
738	16.67	6.13	85.16
739	18.63	14.49	90.74
740	4.22	10.7	10.67
741	8.9	6.63	53.8
742	5.4	0.63	84.3
743	3.79	1.35	90.39
744	5.53	8	93.18
745	9.61	7.89	35.23
746	5.96	2.39	66
747	16.4	14.92	90.58
748	15.8	5.28	23.65
749	1.96	8.32	87.68
750	2.1	12.94	10.4
751	14.72	8.54	57.8
752	17.66	5.48	65.83
753	7.51	8.25	1.56
754	12.09	2.01	79.8
755	16.03	4.55	90.59
756	2.86	2.75	90.52
757	11.67	13.64	28.3
758	11.47	1.29	92.34
759	19.2	10.67	90.53
760	13.39	13.05	72.79
761	6.79	8.31	19.46
762	17.96	13.64	90.51
763	5.98	7.93	52
764	16.3	8.75	56.77
765	14.45	6.55	76.33
766	12.32	12.36	73.76
767	18.05	9.21	79.74
768	12.95	7.7	86.5
769	8	12.83	58.82
770	17.11	10.38	90.42
771	2.32	1.91	90.22
772	7.29	9.29	17.19
773	17.72	7.34	96.67
774	12.39	3.97	24.28
775	5.73	5.21	94.71
776	17.35	13.64	90.72
777	17.41	12.3	90.18
778	0.77	7.82	16.99
779	11.03	1.49	3.84
780	8.24	1.88	80.96
781	10.93	4.47	19.98
782	19.43	7.55	64.48
783	18.06	8.96	77.49
784	17.19	6.08	82.7
785	18.12	3.66	10.79
786	5.86	9.48	30.9
787	10.98	14.87	99.26
788	8.6	1.74	76.75
789	5.15	13.87	12.59
790	14.04	2.3	40.99
791	19.38	7.49	39.07
792	6.17	12.78	10.32
793	14.22	13.96	45.46
794	4.16	8.07	85.19
795	2.93	3.3	90.04
796	9.51	12.72	55.06
797	8.31	3.11	27.06
798	7.88	5.32	21.26
799	7.19	14.04	87.71
800	8.56	10.99	12.16
801	6.05	11.45	0.98
802	2.48	14.12	10.61
803	4.82	8.89	90.9
804	18.48	10.88	90.7
805	10.73	0.89	15.21
806	7.95	14.26	82.1
807	15.17	0.18	10.36
808	17.45	2.83	90.91
809	6.82	9.27	38.66
810	9.1	9.59	42.49
811	16.18	5.37	61.72
812	7.83	11.8	26.78
813	13.17	11.57	56.35
814	5.31	2.55	61.42
815	13.83	8.67	99.49
816	9.89	14.43	77.29
817	0.81	12.43	10.67
818	11.68	6.15	38.81
819	15.82	2.24	90.44
820	0.36	6.39	26.27
821	9.79	9.88	82.88
822	3.56	6.89	30.18
823	9.88	11.86	59.11
824	2.54	6.87	89.6
825	10.67	3.85	45.9
826	15.83	11.55	90.14
827	7.8	11.63	91.25
828	0.63	7.3	70.96
829	16.59	0.15	90.71
830	9.78	11.85	94.15
831	16.89	3.18	10.43
832	5.71	2.81	41.43
833	16.14	13.13	90.53
834	3.75	7.2	98.96
835	16.35	7.16	45.2
836	19.88	7.55	78.58
837	4.16	8.78	58.13
838	6.2	2.71	26.1
839	12.4	6.93	50.22
840	2.42	7.17	10.16
841	10.84	11.31	66.68
842	16.66	10.75	90.8
843	18.1	2.41	90.92
844	8.4	3.9	62.18
845	2.54	14.85	10.19
846	19.64	1.38	10.61
847	13.81	3.5	72.06
848	6.86	7.77	96.39
849	0.55	12.81	10.52
850	12.45	9.87	30.11
851	19.25	1.24	10.84
852	6.26	7.65	58.37
853	18.69	5.07	73.75
854	4.34	10.36	10.05
855	8.97	14.96	81.33
856	9.9	5.14	69.82
857	17.31	0.42	90.36
858	13.48	10.6	48.28
859	9.11	10.28	48.64
860	18.46	10.95	90.43
861	15.62	5.12	63.02
862	9.78	1.87	3.89
863	12.44	6.93	1.98
864	6.85	12.3	58.93
865	8.43	0.22	37.91
866	6.93	6.25	98.8
867	6.33	5.37	89.16
868	16.21	11.5	90.06
869	4.21	2.93	90.41
870	5.09	12.6	89.68
871	10.55	9.23	86.55
872	12.76	7.39	20.84
873	1.58	1.97	90.93
874	12.09	10.86	14.53
875	9.88	14.47	5.68
876	4.63	4.56	90.04
877	8.58	4.55	84.17
878	16.2	6.58	0.16
879	13.07	10.89	22.69
880	0.99	3.76	90.33
881	0.57	6.78	34.76
882	19.11	9.37	82.85
883	18.18	3.13	90.04
884	15.19	5.41	66.91
885	8.97	4.61	99.28
886	8.58	10.68	53.26
887	13.95	8.59	68.04
888	8.88	8.9	42.45
889	1.67	6.25	97.96
890	10.63	14.79	68.8
891	12.05	12.3	95.84
892	19.36	5.63	23.8
893	11.66	9.56	59.43
894	6.52	3.76	1.77
895	17.73	14.59	90.02
896	10.27	1.04	31.03
897	13.6	8.02	96.95
898	6	7.05	97.05
899	4.63	5.16	29.41
900	5.95	14.87	91.16
901	5.11	6.11	52.68
902	7.51	5.89	68.82
903	8.74	4.1	45.79
904	9.12	12.73	18.49
905	0.08	4.34	90.68
906	18.13	10.81	90.92
907	16.15	2.12	10.76
908	10.99	11.19	6.05
909	3.58	7.5	17.95
910	18.93	4.46	10.76
911	7.99	3.22	74.09
912	2.05	3.99	90.84
913	1.36	4.12	90.83
914	13.62	4.68	46.8
915	17.62	5.66	50.36
916	4.54	9.16	38.19
917	4.37	13	10.65
918	17.59	1.42	10.27
919	1.73	8.16	25.46
920	14.26	12.13	20.06
921	14.05	12.39	19.32
922	1.81	9.7	53.49
923	19.3	0.78	90.13
924	1.81	8.72	61.01
925	19.77	1.61	10.1
926	19.15	0.42	90.95
927	16.65	7.8	31.85
928	13.32	0.82	75.39
929	17.67	7.02	79.64
930	7.68	14.96	59.39
931	14.28	0	24.82
932	16.1	5.04	29.32
933	4.26	8.71	47.31
934	5.96	7.74	15.52
935	9.73	5.42	7.23
936	14.2	11.13	58.72
937	18.27	7.84	40.46
938	1.64	8.86	13.7
939	15.76	3.05	90.43
940	17.7	14.6	90.55
941	4.67	11.73	10.52
942	12.33	7.39	54.89
943	14.54	7.03	58.6
944	18.39	12.85	90.36
945	6.49	11.51	64.79
946	4.56	9.07	94.84
947	13.1	4.54	77.86
948	4.65	0.64	90.55
949	16.87	0.3	10.31
950	3.64	7.85	10.7
951	7.61	12.79	96.3
952	0.14	4.28	90.5
953	16.07	11.42	90.63
954	18.91	10.03	90.34
955	11.27	6.86	39.43
956	13.52	14.67	54.29
957	14.3	0.93	20.65
958	8.73	13.17	68.48
959	16.97	9.38	67.37
960	12.8	1.64	45.96
961	8.49	4.3	21.34
962	15.92	14.64	90.58
963	18.23	8.28	63.07
964	6.94	8.81	47.4
965	15.18	12.1	90.72
966	8.35	12.69	59.48
967	8.02	11.59	88.36
968	19.65	12.68	90.52
969	5.43	9.22	29.36
970	11.67	3.59	73.25
971	3.3	0.76	90.1
972	19.85	2.92	90.39
973	2.16	12.13	10.37
974	6.5	3.45	12.34
975	9.41	7.84	14.6
976	17.95	9.86	69.51
977	5.84	0.18	82.71
978	12.32	2.44	36.74
979	9.33	5.09	21.06
980	17.72	0.98	10.06
981	6.5	13.81	55.25
982	17.38	14.42	90.4
983	9.15	7.27	73.5
984	11.4	3.64	22.07
985	11.71	1.71	63.12
986	14.4	4.05	68.91
987	6.58	12.91	81.33
988	7.93	3.64	56.68
989	5.48	5.23	54.23
990	6.65	6.41	72.81
991	18.47	12.88	90.71
992	8.64	2.36	44.13
993	16.18	9.28	51.36
994	16.26	12.72	90.67
995	19.9	8.86	77.35
996	9.96	11.7	71.78
997	10.29	8.03	55.58
998	7.05	2.93	48.12
999	12.7	6.4	65.91
1000	7.36	7.06	17.21
